Episode 32: reward: 4.000, steps: 60
Episode 33: reward: 346.200, steps: 1392
Episode 34: reward: 2.600, steps: 56
Episode 35: reward: 56.800, steps: 278
Episode 36: reward: 77.600, steps: 346
Episode 37: reward: 96.900, steps: 419
Episode 38: reward: 395.800, steps: 1588
Episode 39: reward: 53.900, steps: 259
Episode 40: reward: 108.600, steps: 476
Episode 41: reward: 126.100, steps: 541
Episode 42: reward: 18.000, steps: 120
Episode 43: reward: 52.900, steps: 259
Episode 44: reward: 111.100, steps: 481
Episode 45: reward: 88.300, steps: 393
Episode 46: reward: 204.500, steps: 845
Episode 47: reward: 5.900, steps: 69
Episode 48: reward: 9.300, steps: 83
Episode 49: reward: 9.300, steps: 83
Episode 50: reward: 126.900, steps: 549
Episode 1: reward: 20.500, steps: 125
Episode 2: reward: 3.900, steps: 59
Episode 3: reward: 48.700, steps: 247
Episode 4: reward: 104.600, steps: 456
Episode 5: reward: 203.800, steps: 838
Episode 6: reward: 52.900, steps: 259
Episode 7: reward: 52.900, steps: 259
Episode 8: reward: 53.900, steps: 259
Episode 9: reward: 23.800, steps: 138
Episode 10: reward: 58.200, steps: 282
Episode 11: reward: 138.900, steps: 589
Episode 12: reward: 96.200, steps: 422
Episode 13: reward: 54.900, steps: 269
Episode 14: reward: 42.500, steps: 215
Episode 15: reward: 129.600, steps: 556
Episode 16: reward: 57.400, steps: 274
Episode 17: reward: 310.400, steps: 1254
Episode 18: reward: 177.900, steps: 739
Episode 19: reward: 178.700, steps: 747
Episode 20: reward: 41.700, steps: 217
Episode 21: reward: 54.500, steps: 265
Episode 22: reward: 76.100, steps: 341
Episode 23: reward: 47.500, steps: 235
Episode 24: reward: 156.900, steps: 659
Episode 25: reward: 44.200, steps: 222
Episode 26: reward: 161.400, steps: 674
Episode 27: reward: 326.100, steps: 1321
Episode 28: reward: 172.500, steps: 725
Episode 29: reward: 22.100, steps: 131
Episode 30: reward: 52.900, steps: 259
Episode 31: reward: 204.800, steps: 848
Episode 32: reward: 129.600, steps: 556
Episode 33: reward: 223.900, steps: 919
Episode 34: reward: 295.100, steps: 1191
Episode 35: reward: 173.700, steps: 727
Episode 36: reward: 94.400, steps: 414
Episode 37: reward: 25.900, steps: 149
Episode 38: reward: 283.600, steps: 1156
Episode 39: reward: 86.600, steps: 386
Episode 40: reward: 57.700, steps: 277
Episode 41: reward: 131.100, steps: 561
Episode 42: reward: 71.700, steps: 327
Episode 43: reward: 202.900, steps: 839
Episode 44: reward: 34.000, steps: 180
Episode 45: reward: 122.900, steps: 529
Episode 46: reward: 104.600, steps: 456
Episode 47: reward: 195.200, steps: 812
Episode 48: reward: 42.400, steps: 214
Episode 49: reward: 8.800, steps: 78
Episode 50: reward: 25.800, steps: 148
Episode 1: reward: 43.100, steps: 221
Episode 2: reward: 18.000, steps: 120
Episode 3: reward: 21.000, steps: 130
Episode 4: reward: 23.100, steps: 141
Episode 5: reward: -0.200, steps: 48
Episode 6: reward: 14.100, steps: 101
Episode 7: reward: 3.200, steps: 62
Episode 8: reward: 0.900, steps: 49
Episode 9: reward: 21.100, steps: 131
Episode 10: reward: 8.000, steps: 80
Episode 11: reward: 127.600, steps: 546
Episode 12: reward: 43.600, steps: 226
Episode 13: reward: 39.900, steps: 209
Episode 14: reward: 53.900, steps: 259
Episode 15: reward: 2.700, steps: 57
Episode 16: reward: 21.100, steps: 131
Episode 17: reward: 26.500, steps: 155
Episode 18: reward: 6.400, steps: 74
Episode 19: reward: 23.200, steps: 142
Episode 20: reward: 2.600, steps: 56
Episode 21: reward: 9.500, steps: 85
Episode 22: reward: 41.300, steps: 213
Episode 23: reward: 29.600, steps: 166
Episode 24: reward: 15.800, steps: 108
Episode 25: reward: 19.300, steps: 123
Episode 26: reward: 7.100, steps: 71
Episode 27: reward: 6.200, steps: 72
Episode 28: reward: 2.800, steps: 58
Episode 29: reward: 27.200, steps: 152
Episode 30: reward: 76.500, steps: 345
Episode 31: reward: -5.600, steps: 24
Episode 32: reward: -0.500, steps: 45
Episode 33: reward: 84.300, steps: 373
Episode 34: reward: 1.500, steps: 55
Episode 35: reward: 0.900, steps: 49
Episode 36: reward: 3.000, steps: 60
Episode 37: reward: 8.900, steps: 79
Episode 38: reward: 52.900, steps: 259
Episode 39: reward: 14.600, steps: 106
Episode 40: reward: 21.700, steps: 137
Episode 41: reward: 81.500, steps: 365
Episode 42: reward: 21.400, steps: 134
Episode 43: reward: 6.700, steps: 77
Episode 44: reward: 12.300, steps: 93
Episode 45: reward: 35.200, steps: 182
Episode 46: reward: 38.700, steps: 197
Episode 47: reward: 4.900, steps: 69
Episode 48: reward: 21.000, steps: 130
Episode 49: reward: 26.000, steps: 150
Episode 50: reward: 39.600, steps: 206
Episode 1: reward: 39.200, steps: 202
Episode 2: reward: 191.100, steps: 791
Episode 3: reward: 81.500, steps: 365
Episode 4: reward: 7.900, steps: 79
Episode 5: reward: 57.400, steps: 274
Episode 6: reward: 226.000, steps: 930
Episode 7: reward: 27.300, steps: 153
Episode 8: reward: 14.100, steps: 101
Episode 9: reward: 60.600, steps: 286
Episode 10: reward: 22.800, steps: 138
Episode 11: reward: 7.200, steps: 72
Episode 12: reward: 20.600, steps: 126
Episode 13: reward: 97.100, steps: 431
Episode 14: reward: 36.500, steps: 195
Episode 15: reward: 170.000, steps: 710
Episode 16: reward: -5.600, steps: 24
Episode 17: reward: 7.600, steps: 76
Episode 18: reward: 53.200, steps: 262
Episode 19: reward: 22.600, steps: 136
Episode 20: reward: -5.600, steps: 24
Episode 21: reward: 644.600, steps: 2556
Episode 22: reward: 11.000, steps: 90
Episode 23: reward: 268.200, steps: 1092
Episode 24: reward: 25.900, steps: 149
Episode 25: reward: 4.300, steps: 63
Episode 26: reward: 54.700, steps: 267
Episode 27: reward: 97.000, steps: 430
Episode 28: reward: 24.400, steps: 144
Episode 29: reward: 44.000, steps: 220
Episode 30: reward: 29.500, steps: 165
Episode 31: reward: 64.800, steps: 298
Episode 32: reward: 129.500, steps: 555
Episode 33: reward: -3.800, steps: 32
Episode 34: reward: 57.500, steps: 275
Episode 35: reward: 141.700, steps: 597
Episode 36: reward: 27.700, steps: 157
Episode 37: reward: 336.800, steps: 1358
Episode 38: reward: 96.400, steps: 424
Episode 39: reward: 81.100, steps: 361
Episode 40: reward: 200.900, steps: 839
Episode 41: reward: 48.000, steps: 240
Episode 42: reward: 130.300, steps: 563
Episode 43: reward: 120.800, steps: 518
Episode 44: reward: 111.100, steps: 481
Episode 45: reward: 34.700, steps: 187
Episode 46: reward: 34.800, steps: 188
Episode 47: reward: 20.800, steps: 128
